Event,Evaluator - Selection Day,Evaluator - Pre-IC,Evaluator - IC,Startup - Selection Day,Startup - Pre-IC,Startup - IC,Startup - IC copy,Final Decision,Startup Name,Founders,Clarity & Size of Problem,MOAT/Edge (is the product defensible?),Traction & Validation,Global Ambition/US Potential,Founders-Market Fit (is it the right team for the problem?),Quality of Team,Execution Capacity / Traction,Market Potential,Overall Score,Go / No Go / Maybe,Comments,Attachment Summary,Date
,,,Christian,,,AvaHome,,,,,,,,,,2,3,2,2,No Go,"Competition is allready growing
Low barriers to protect",,9/12/2025
,,,Eric,,,AvaHome,,,,,,,,,,4,4,3,3,Maybe,"Traction looks promising
Unsure of market potential",,9/12/2025
,,,Pierre-Emmanuel,,,AvaHome,,,,,,,,,,5,5,5,5,Go,very promising results. clear vision and execution,,9/12/2025
,,,Hugo,,,AvaHome,,,,,,,,,,4,5,4,4,Go,Looks promising,,9/12/2025
,,,Stephanie,,,AvaHome,,,,,,,,,,4,4,3,3,Maybe,"concurrence déjà bien en place avec des services bcp plus larges, mais la team est convaincante et le démarrage semble prometteur",,9/12/2025
,,,Salomon,,,Mirmi,,,,,,,,,,2,1,3,2,No Go,no team chemistry - other presenter didnt speak - red flag for me ,,9/12/2025
,,,Eric,,,Mirmi,,,,,,,,,,4,4,4,4,Go,,,9/12/2025
,,,Christian,,,Mirmi,,,,,,,,,,2,1,3,2,No Go,,,9/12/2025
,,,Pierre-Emmanuel,,,Mirmi,,,,,,,,,,3,4,4,3,Maybe,,,9/12/2025
,,,Hugo,,,Mirmi,,,,,,,,,,2,3,2,3,Maybe,Not clear enough,,9/12/2025
,,,Stephanie,,,Mirmi,,,,,,,,,,4,4,4,4,Go,,,9/12/2025
,,,Maxime,,,Mirmi,,,,,,,,,,2,3,3,3,No Go,Good CTO but market is crowded and the CEO's personality does not inspire confidence.,,9/12/2025
,,,Salomon,,,GovIntel,,,,,,,,,,2,2,5,3,Maybe,"they know very well their topics - complicated topic - and very needed for startups 
little chemistry in the team ",,9/12/2025
,,,Maxime,,,GovIntel,,,,,,,,,,2,4,3,3,Maybe,"Good execution, they know their market, 
Bad point: CEO's lacks confidence.",,9/12/2025
,,,Hugo,,,GovIntel,,,,,,,,,,3,3,2,3,No Go,"market not deep enough, complex data play, low ACV.",,9/12/2025
,,,Pierre-Emmanuel,,,GovIntel,,,,,,,,,,3,3,4,3,No Go,not sure how easy you can expand from 1 market to another. ADS quite small,,9/12/2025
,,,Christian,,,GovIntel,,,,,,,,,,3,2,4,3,Maybe,Wait additional results,,9/12/2025
,,,Eric,,,GovIntel,,,,,,,,,,4,3,3,4,Maybe,"Limited Market potential (niche) ?
Unsure German open data maturity (on détailles govt IT spending) is similar in other country",,9/12/2025
,,,Stephanie,,,GovIntel,,,,,,,,,,4,3,2,2,Maybe,"dur de scaler d'un pays à l'autre, mais le besoin est réel et avec les plans de relance à venir coté Germany, peut être un bon timing
",,9/12/2025
,,,Maxime,,,FitBot,,,,,,,,,,4,3,3,3,Maybe,"Red ocean market obviously. We need to see them move fast quickly. 
Big bet on gym networks which is a questions.",,9/12/2025
,,,Eric,,,FitBot,,,,,,,,,,3,2,4,2,No Go,,,9/12/2025
,,,Salomon,,,FitBot,,,,,,,,,,5,3,4,2,Maybe,very crowded market - but A team very passionate about what they are building ,,9/12/2025
,,,Pierre-Emmanuel,,,FitBot,,,,,,,,,,3,3,5,3,No Go,unclear how the app works to help users to eat better.competition. ,,9/12/2025
,,,Christian,,,FitBot,,,,,,,,,,2,2,1,2,No Go,,,9/12/2025
,,,Hugo,,,FitBot,,,,,,,,,,3,1,3,2,No Go,"Not strong enough on the PMF, founders fit is low.",,9/12/2025
,,,Stephanie,,,FitBot,,,,,,,,,,3,2,1,1,No Go,,,9/12/2025
,,,Salomon,,,Everest (external),,,,,,,,,,5,2,3,3,No Go,very tought b2C play - very crowded - not fully commited CTO - not sure they have they will have the hasstle mentality enough ,,9/12/2025
,,,Christian,,,Everest (external),,,,,,,,,,4,2,2,2,No Go,,,9/12/2025
,,,Eric,,,Everest (external),,,,,,,,,,1,1,1,1,No Go,🙄,,9/12/2025
,,,Pierre-Emmanuel,,,Everest (external),,,,,,,,,,5,3,4,4,No Go,super strong market knowledge . business model unclear.,,9/12/2025
,,,Hugo,,,Everest (external),,,,,,,,,,3,2,3,2,Maybe,Need more data and execution proofs,,9/12/2025
,,,Stephanie,,,Everest (external),,,,,,,,,,4,3,3,3,Maybe,"l'expérience de recherche sur seloger est mauvaise, il y a de la place, mais la manière d'aborder le marché avec le couponing est mauvais",,9/12/2025
,,,,,,,GovIntel,,,,,,,,,,,,,,,,11/8/2025
,,,,,,,Ooma,,,,,,,,,,,,,,,,11/8/2025
,,,Hugo,,,,GovIntel,,,,,,,,,2,2,2,2,No Go,"We need more traction, insights from the market, looks too niche. Can be a good small company but not a large one.",,11/10/2025
,,,Salomon,,,,GovIntel,,,,,,,,,2,3,3,3,No Go,,,11/10/2025
,,,Salomon,,,,Ooma,,,,,,,,,2,2,4,3,No Go,,,11/10/2025
,,,Hugo,,,,Ooma,,,,,,,,,4,3,5,4,Go,"I would bet on them, make me dream more, good energy. Risk is on their ability to endure.",,11/10/2025
,,,Stephanie,,,,GovIntel,,,,,,,,,3,4,3,3,Maybe,,,11/10/2025
,,,Eric,,,,GovIntel,,,,,,,,,4,4,3,4,Maybe,,,11/10/2025
,,,Stephanie,,,,Ooma,,,,,,,,,4,3,3,3,Maybe,,,11/10/2025
,,,Eric,,,,Ooma,,,,,,,,,4,2,5,3,No Go,,,11/10/2025
