id,createdTime,Event,Name,Name (from Event),Name (from Notes),Notes,Some notes
recJsbX6nfaGV14n3,2025-07-22T13:54:58.000Z,recGQzbZpBfJGYefJ,Pitch Day,Pitch Day 18/07/2025,recTgFx0MhiR4iLBe,"recCocEOyZsVUCNn0,recUOW9AqiE1oDktb","Dominka:  | \- Too early stage to give any comprehensive feedback on the idea | \- As soon as the team agrees on the pivot, please spend less time of the pitch on the product that didn’t work, and rather focus on lesson learned and going forward |  | "
recLIcylrSwzdzPBj,2025-06-27T14:58:52.000Z,recEopSFdSptY1d7B,Pitch Day,Pitch Day - 20/06/2025,recjkOOsE15ZOrrMN,recLUoF1qWfeco20K,"**`Pitch day - 20/06/2025`** | Warehouses: Operators aren’t well connected — it’s hard work with fragmented communication channels. The idea is to build a platform that centralizes everything and takes on the role of a data analyst, delivering real-time insights. |  | They’ve started getting some early users. Began talking to someone from Goldman Sachs in Munich and started pitching to some family offices. |  | Still looking for a technical cofounder and working on making that decision. | "
recLnWSmGtduO4GzB,2025-06-27T15:44:22.000Z,recopRLQFsxxP97q7,Pitch day,Pitch Day 27/06/2025,recjkOOsE15ZOrrMN,recmqZL8U9G0hHf7k, | - Went to Munich for a robotics event | - Noted a clear time gap between current robotics capabilities and future expectations — the field is still quite early-stage | - Planning to conduct interviews this week to dig deeper into the opportunity | - Identified 2 main problems: | -  |     1. Aging population |     2. Interest in exploring robotics applications beyond manufacturing — especially elderly care and assistance | - Spoke to 2 doctors at a hospital to begin validating the idea |  | 
recLwLXdAjq8xzz8z,2025-06-27T14:54:01.000Z,recEopSFdSptY1d7B,Pitch Day,Pitch Day - 20/06/2025,recjkOOsE15ZOrrMN,recZSzWnYZftoZZY7,**`Pitch day - 20/06/2025`** | Talked with Franz and Gabriel. His objective for next week is to find his first two customers and start cold calling. |  | Will be leaving Pioneers to join another program | 
recNaCyR1CGogQPXw,2025-06-27T15:08:41.000Z,recEopSFdSptY1d7B,Pitch day,Pitch Day - 20/06/2025,rec13EhdLNCFApcPb,rec2aL3QZfZ0jZ7bW,**`Pitch day - 20/06/2025`** | Still hasn’t found a cofounder. |  | Next week: Will work with Dylan to see if it’s a good fit and test their working relationship. | 
recO3uGhVagm8i5Yb,2025-06-27T15:41:44.000Z,recopRLQFsxxP97q7,Pitch day,Pitch Day 27/06/2025,rec0nrDbKZrsszvvf,"recZE4fXnvq3G58il,recwJxcDvm8e0gjn3", | - Formed a team! | - Started working on a fintech project focused on a credit scoring system | - Defined a clear target audience | - Building a mobile app | - Testing a B2B2C model | - Spoke with ~11 people working at banks | - Interviewed 35 users/customers | - This week was focused on refining the pitch deck | - Pitched in front of LPs |  | **Next week:** |  | - Build a landing page | - Define and design what the MVP will look like | - Continue user interviews | - Present the MVP design to users for feedback |  | 
recOALQWjnYrJzWVk,2025-06-27T15:57:33.000Z,recopRLQFsxxP97q7,Pitch day,Pitch Day 27/06/2025,rechY9RpaTtX4jAW5,"recAPE9yt0iJZVBA0,rec1LGBT5rBulQ00D"," | - Just matched with a cofounder yesterday — very complementary skill sets | - Now looking for someone to lead the tech team and handle design | - This week: | -  |     - Coded extensively |     - Had many conversations with potential users and stakeholders |     - Continued work on a sales automation project — backend is complete, and most of the frontend is done |     - Really eager to dive deeper into what **GoFusion** is all about |     - Started meeting with potential investors |     - Needs to begin building a strong tech team for GoFusion |  | "
recOkboFFbmyLHJwF,2025-07-17T09:49:04.000Z,rec33L5WjfpqhMojL,Pitch Day,Pitch Day 04/07/2025,recQpVpn9qPUBTeJi,"recSt2IAYyrlpGH9W,recuCYxmlOQvGuFM1",5 people on the waitlist | 
recPue2hbOl55pSpF,2025-07-22T13:55:09.000Z,recGQzbZpBfJGYefJ,Pitch Day,Pitch Day 18/07/2025,recHRVTq6tvZydMj9,"recHBTI1ypAieclDf,recpGtzPPZKDJhBHM","- lack of clarity  |  | Dominika:  | \- Lack uniqueness in a red ocean space | \- Competitors: Most similar one to look into, as it seems like 1on1 to the idea presented - Aila Money - <https://ailamoney.com/> |  | "
recQ5KFWdAfx35uFw,2025-07-22T13:54:49.000Z,recGQzbZpBfJGYefJ,Pitch Day,Pitch Day 18/07/2025,recQpVpn9qPUBTeJi,recSt2IAYyrlpGH9W,"Dominika: | \- Understand that it was the tech founder pitching, but still the pitch was a little all over the place and hard to grasp the uniqueness of the business | \- 76% developers use AI agents already - what is the one strong conviction that will make them want to switch to another platform (even if aggregating). Not convinced about the one stop shop approach. | \- Didn't understand if they would you be an overlay or the new tool that the developers have to use - and if it's an API integration play - that further emphasize the point about uniqueness |  | Niklas | - solution not clear: dashboard  | - one stop shop is not really sexy to VCs  | "
recQspTTkrTndfAnp,2025-07-17T10:46:13.000Z,rec2OoUgYK6AMjPbU,Pitch Day,Pitch Day 11/07/2025,recTgFx0MhiR4iLBe,"recCocEOyZsVUCNn0,recUOW9AqiE1oDktb",
recRWwJPaOeoXWc3e,2025-07-17T10:03:24.000Z,rec33L5WjfpqhMojL,Pitch Day,Pitch Day 04/07/2025,rec3zysTAj0wZsqXa,"rec1mGcDGgMvv2pxX,recFBRePgXKkiq5r6",Whatsapp agent —> qualify candidates for staffing agencies  | - Blue color  | - AI replaces repetitive tasks |     - Replace work of 80% of the task of staffing agencies  | - PoC with logistic company |  | - Contacted by white color agencies  |  | - Call 3 to 4 guys instead of all the people |  | - Focus on interim agencies —> blue collar |     - Companies can access all staffing agencies  |  |     - Just another layer? —> all the market  |  | - Unify and price with each staffing agencies  |  | - Demand side: market side |     - Sell lead and workers to staffing agencies |  |  | What is your plan for next week:  | - Bring ideas to small agencies | - Onboarding to sign  | - 3 people willing  | 
recTynWhweKWNQZ4D,2025-06-27T16:01:22.000Z,recopRLQFsxxP97q7,Pitch day,Pitch Day 27/06/2025,recFe6iiMcUH8fyz2,"rec4OQFf0dpglgdZe,rech64xasAwEhaY39", | - Pitched at the demo day of their other incubator | - Presentation focused mainly on **traction** | - Realized the need to focus more on **execution** going forward | - Goal: structure and organize a scalable **sales machine** |  | 
recUnrqeQ7EnRfpTm,2025-07-17T10:05:18.000Z,rec33L5WjfpqhMojL,Pitch Day,Pitch Day 04/07/2025,reczBZLnrTPQVYfu0,"rectONLC61YtJmvN0,recECVBmDnBzslgbO",6 users  | 30 euros MRR |  | Learning:  | - Avoid the people below 20 listings  | - Tested different emails  |  | - Test with different email styles  |  | - Tight with their margins | - Easy onboarding  | 
recVnYbQSfBZ9dO08,2025-06-27T15:07:45.000Z,recEopSFdSptY1d7B,Pitch day,Pitch Day - 20/06/2025,recjkOOsE15ZOrrMN,recHBTI1ypAieclDf,**`Pitch day - 20/06/2025`** | Next week: Plans to work with as many people as possible. | Still exploring ideas and open to everything — even working on weekends. |  | Wants to finish the prototype he’s been building for a launch app and is aiming to get results or a prize next week. | 
recXkyUkAVAcVb42y,2025-06-27T14:59:25.000Z,recEopSFdSptY1d7B,Pitch Day,Pitch Day - 20/06/2025,,"rec0QhejQgLA8Fwhg,recSoqbOOhPAmI21u","**`Pitch day - 20/06/2025`** | Problem: Recruitment is a pain — companies receive too many candidates, spend hours reviewing applications, summarizing, conducting interviews, etc. |  | Wants to integrate AI throughout the process. |  | Solution: They have two AI agents in mind — one to score candidates and one to filter them. The goal is to build a full solution using existing technologies: an ATS powered by AI. |  | So far, they have 25 signups. | Next week: Aim to reach 100 signups, sign one design partner, and get people using the extension. | "
recY4xjVRpX2gpvM6,2025-07-17T10:41:42.000Z,rec2OoUgYK6AMjPbU,Pitch Day,Pitch Day 11/07/2025,rec3zysTAj0wZsqXa,"rec1mGcDGgMvv2pxX,recFBRePgXKkiq5r6",- repositioning  | - booking.com for temporary staffing  | - onboard sales team in Clermont Ferrand  |  | - 5 interim agencies onboarded |  | - staffing are happy to get leads  | - hard parts are the companies  |  | - seasonal --> target | 
recYfP4weAZxwruMv,2025-07-17T10:42:47.000Z,rec2OoUgYK6AMjPbU,Pitch Day,Pitch Day 11/07/2025,recFe6iiMcUH8fyz2,"rec4OQFf0dpglgdZe,rech64xasAwEhaY39,reclWyXXWkmLtU04X",
recZK7KdULWVVuJXC,2025-06-27T15:48:35.000Z,recopRLQFsxxP97q7,Pitch day,Pitch Day 27/06/2025,recjkOOsE15ZOrrMN,recCocEOyZsVUCNn0," | - Has an idea but hasn’t found a cofounder yet — still open to working on other ideas | - Current idea: an NGO-style initiative to help brands understand their positioning in AI branding — including brand awareness across countries, etc. | - The solution is not technically complex | - Validated the idea — received surprisingly strong and positive feedback from agencies (they were enthusiastic, reactive, and impatient to see more) |  | **Next week:** |  | - Conduct more user interviews | - Grow the waitlist by generating more leads |  | "
recaX3BWer5Y51p5f,2025-07-22T13:54:52.000Z,recGQzbZpBfJGYefJ,Pitch Day,Pitch Day 18/07/2025,recFe6iiMcUH8fyz2,"reclWyXXWkmLtU04X,rech64xasAwEhaY39,rec4OQFf0dpglgdZe","- problem is clear, solution has not been really been explained  | - brand trust could be an issue | - how you make it happen is the key  | - 3 LOIs in progress  |  | Dominika: | \- Overall liked the pitch and team seems knowledgable, but super early stage and extreme red ocean | \- Data: didn't understand where is it coming from? From companies themselves, influencers etc? | \- How do you ensure that the influencers are vetted | \- Big competitor: AMT (Agentinc Marketing Tools) |  | "
recgHxssLG6RrHaqC,2025-06-27T15:00:24.000Z,recEopSFdSptY1d7B,Pitch Day,Pitch Day - 20/06/2025,recjkOOsE15ZOrrMN,rectr06mnNuG23Bts,"**`Pitch day - 20/06/2025`** | Thinking about TikTok algorithms, people, and management tools. Has a lot of ideas and is trying to validate them while also looking for a cofounder. |  | Has met a lot of different people and is also exploring what kind of idea he really wants to pursue. |  | No customer interviews yet. | "
reci2cnBtnoslYviD,2025-06-27T15:21:30.000Z,recopRLQFsxxP97q7,Pitch day ,Pitch Day 27/06/2025,recgcfQoyVJ6vQcOv,"recSr6YEhbB1B1OSY,recHBTI1ypAieclDf"," | - Created the team | - Met with our first business partner | - Noticed that women tend to be less confident or experienced in finance — explore ways to support and empower them | - Next week: plan to conduct 10 additional user interviews | - Focus of interviews: B2B context, especially with HR professionals | - Challenge and validate the B2B2C model | - Design an initial solution to test the community-driven approach | - Create a WhatsApp group to gather early users | - Invite relevant experts into the group to contribute and provide value |  | "
reciBfSkPkTSpIr8D,2025-06-27T15:08:15.000Z,recEopSFdSptY1d7B,Pitch day,Pitch Day - 20/06/2025,recjkOOsE15ZOrrMN,recibD5fOJHhEU7FZ,**`Pitch day - 20/06/2025`** | Has two people in mind and has started working with them. They’re collaborating to see if they can bring value to each other. Did some customer discovery through different exercises. |  | Really appreciated the vibe during the coding session. |  | Next week: Plans to launch a website to test early traction and organize an event with a goal of 50 signups. | 
recieDoOjDov2Jo6D,2025-06-27T14:59:58.000Z,recEopSFdSptY1d7B,Pitch Day,Pitch Day - 20/06/2025,recjkOOsE15ZOrrMN,recKzegnxmXnG97za,"**`Pitch day - 20/06/2025`** | Matched with Giorgio, but it didn’t work out. |  | Next week: Plans to schedule first calls. Starting Monday, will be back full-time. |  | Happy to help others. | "
recj425iVHvKyQd7r,2025-07-22T13:54:54.000Z,recGQzbZpBfJGYefJ,Pitch Day,Pitch Day 18/07/2025,recfwAXL9FCSPpKdU,recLUoF1qWfeco20K,"- several tools —> problem of reconciliation  | - secret sauce not clear  | - end to end —> always an issue, not realistic —> only one pain point  | - why you and why your product is totally unclear |  | Dominika:  | \- Language of the presentation a little too technical (SLA penalties etc.) - cool to show you know the space, but using too many acronyms can lead to bigconfusion | \- Specific logistics? Use different tools? | \- Competitors: Missing understanding what’s their secret sauce | \- User vs Customer: Who is going to pay for this and **why** | \- Company to look at: Maersk A/S - remember about the approach, don't overshoot with general approach, but rather target niche and specific people in the organization that are responsible for that niche. | "
